pc_time,fn,r0_raw,r0_hampel_gate,r0_filtered_ewma,r1,r2,glitch_flag,N,alpha,k1
2026-06-16 11:01:29,10621,0.853672,0.853672,0.855226,1.192065,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10622,0.854324,0.854324,0.854865,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:29,10623,0.852789,0.852789,0.854035,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10624,0.852936,0.852936,0.853595,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10625,0.854839,0.854839,0.854093,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:29,10626,0.853549,0.853549,0.853875,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:29,10627,0.853078,0.853078,0.853556,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:30,10628,0.852588,0.852588,0.853169,1.192065,1.371382,0,7,0.40,3.0
2026-06-16 11:01:30,10629,0.852510,0.852510,0.852905,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:30,10630,0.852729,0.852729,0.852835,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:30,10631,0.851584,0.851584,0.852335,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:30,10632,0.850298,0.850298,0.851520,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:30,10633,0.852942,0.852942,0.852089,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:30,10634,0.853132,0.853132,0.852506,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:30,10635,0.850801,0.850801,0.851824,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:30,10636,0.850509,0.850509,0.851298,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:30,10637,0.850828,0.850828,0.851110,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:30,10638,0.851045,0.851045,0.851084,0.923090,1.371382,0,7,0.40,3.0
2026-06-16 11:01:30,10639,0.851714,0.851714,0.851336,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:30,10640,0.852365,0.852365,0.851748,1.192065,1.371382,0,7,0.40,3.0
2026-06-16 11:01:30,10641,0.854265,0.854265,0.852755,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:30,10642,0.855100,0.855100,0.853693,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:30,10643,0.854184,0.854184,0.853889,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:30,10644,0.851997,0.851997,0.853132,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10645,0.850052,0.850052,0.851900,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10646,0.849306,0.849306,0.850863,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10647,0.848938,0.848938,0.850093,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10648,0.849753,0.849753,0.849957,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10649,0.850592,0.850592,0.850211,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10650,0.851341,0.851341,0.850663,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10651,0.851426,0.851426,0.850968,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10652,0.854050,0.854050,0.852201,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10653,0.854131,0.854131,0.852973,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10654,0.853246,0.853246,0.853082,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10655,0.854250,0.854250,0.853549,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10656,0.851473,0.851473,0.852719,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10657,0.850838,0.850838,0.851966,0.967919,1.371382,0,7,0.40,3.0
2026-06-16 11:01:31,10658,0.853418,0.853418,0.852547,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10659,0.852474,0.852474,0.852518,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10660,0.856279,0.856279,0.854022,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:31,10661,0.857444,0.857444,0.855391,1.102407,1.371382,0,7,0.40,3.0
2026-06-16 11:01:31,10662,0.855043,0.855043,0.855252,1.102407,1.371382,0,7,0.40,3.0
2026-06-16 11:01:31,10663,0.850784,0.850784,0.853465,1.102407,1.371382,0,7,0.40,3.0
2026-06-16 11:01:31,10664,0.849259,0.849259,0.851782,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10665,0.850978,0.850978,0.851461,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10666,0.853049,0.853049,0.852096,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10667,0.855278,0.855278,0.853369,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10668,0.856519,0.856519,0.854629,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10669,0.862155,0.862155,0.857639,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10670,0.860639,0.860639,0.858839,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10671,0.855627,0.855627,0.857554,0.967919,1.371382,0,7,0.40,3.0
2026-06-16 11:01:32,10672,0.857104,0.857104,0.857374,0.967919,1.371382,0,7,0.40,3.0
2026-06-16 11:01:32,10673,0.856924,0.856924,0.857194,1.102407,1.371382,0,7,0.40,3.0
2026-06-16 11:01:32,10674,0.857012,0.857012,0.857121,1.102407,1.371382,0,7,0.40,3.0
2026-06-16 11:01:32,10675,0.855608,0.855608,0.856516,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10676,0.854550,0.854550,0.855730,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10677,0.853971,0.853971,0.855026,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10678,0.852540,0.852540,0.854032,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10679,0.852004,0.852004,0.853221,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10680,0.849594,0.849594,0.851770,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10681,0.849730,0.849730,0.850954,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10682,0.849921,0.849921,0.850541,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:32,10683,0.849291,0.849291,0.850041,1.147236,1.371382,0,7,0.40,3.0
2026-06-16 11:01:32,10684,0.846410,0.846410,0.848589,1.147236,1.371382,0,7,0.40,3.0
2026-06-16 11:01:32,10685,0.846357,0.846357,0.847696,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:33,10686,0.850290,0.850290,0.848734,1.147236,1.371382,0,7,0.40,3.0
2026-06-16 11:01:33,10687,0.849440,0.849440,0.849016,1.147236,1.371382,0,7,0.40,3.0
2026-06-16 11:01:33,10688,0.849698,0.849698,0.849289,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:33,10689,0.852323,0.852323,0.850503,1.147236,1.371382,0,7,0.40,3.0
2026-06-16 11:01:33,10690,0.854354,0.854354,0.852043,0.967919,1.371382,0,7,0.40,3.0
2026-06-16 11:01:33,10691,0.845715,0.845715,0.849512,1.147236,1.371382,0,7,0.40,3.0
2026-06-16 11:01:33,10692,0.855204,0.855204,0.851789,0.967919,1.371382,0,7,0.40,3.0
2026-06-16 11:01:33,10693,0.856868,0.856868,0.853820,0.967919,1.371382,0,7,0.40,3.0
2026-06-16 11:01:33,10694,0.855623,0.855623,0.854541,1.192065,1.371382,0,7,0.40,3.0
2026-06-16 11:01:33,10695,0.856069,0.856069,0.855152,1.147236,1.371382,0,7,0.40,3.0
2026-06-16 11:01:33,10696,0.856682,0.856682,0.855764,1.147236,1.371382,0,7,0.40,3.0
2026-06-16 11:01:33,10697,0.856909,0.856909,0.856222,1.371382,1.550699,0,7,0.40,3.0
2026-06-16 11:01:33,10698,0.857882,0.857882,0.856886,1.371382,1.550699,0,7,0.40,3.0
