=~=~=~=~=~=~=~=~=~=~=~= MobaXterm log 2026.06.02 11:00:08 =~=~=~=~=~=~=~=~=~=~=~=
{"fn":123886,"r0":0.441170,"r1":0.948071,"r2":1.443641}
{"fn":123887,"r0":0.455344,"r1":0.961336,"r2":1.478080}
{"fn":123888,"r0":0.464845,"r1":0.980104,"r2":1.499643}
{"fn":123889,"r0":0.467645,"r1":0.995687,"r2":1.538805}
{"fn":123890,"r0":0.475558,"r1":1.011723,"r2":3.832066}
{"fn":123891,"r0":0.483874,"r1":1.028883,"r2":1.589376}
{"fn":123892,"r0":0.493343,"r1":1.044319,"r2":1.610352}
{"fn":123893,"r0":0.512147,"r1":1.059403,"r2":1.633653}
{"fn":123894,"r0":0.509099,"r1":1.082072,"r2":3.798012}
{"fn":123895,"r0":0.525600,"r1":1.098796,"r2":3.805206}
{"fn":123896,"r0":0.530006,"r1":1.116073,"r2":3.812857}
{"fn":123897,"r0":0.536521,"r1":1.138414,"r2":1.742031}
{"fn":123898,"r0":0.537969,"r1":0.537969,"r2":3.823541}
{"fn":123899,"r0":0.563364,"r1":1.169430,"r2":3.826960}
{"fn":123900,"r0":0.573964,"r1":1.190612,"r2":3.835414}
{"fn":123901,"r0":0.585157,"r1":1.211969,"r2":3.845052}
{"fn":123902,"r0":0.578764,"r1":1.228309,"r2":3.845407}
{"fn":123903,"r0":0.594834,"r1":1.246434,"r2":3.858047}
{"fn":123904,"r0":0.592188,"r1":1.261157,"r2":3.862110}
{"fn":123905,"r0":0.619930,"r1":1.280331,"r2":3.873138}
{"fn":123906,"r0":0.631013,"r1":1.300153,"r2":3.876819}
{"fn":123907,"r0":0.626225,"r1":1.318697,"r2":3.574302}
{"fn":123908,"r0":0.637020,"r1":1.336798,"r2":3.902868}
{"fn":123909,"r0":0.645986,"r1":1.354176,"r2":1.371426}
{"fn":123910,"r0":0.658595,"r1":1.372601,"r2":2.087380}
{"fn":123911,"r0":0.660225,"r1":1.390168,"r2":2.929291}
{"fn":123912,"r0":0.660160,"r1":0.660160,"r2":1.406576}
{"fn":123913,"r0":0.674628,"r1":1.425619,"r2":2.933549}
{"fn":123914,"r0":0.693429,"r1":1.449362,"r2":2.950011}
{"fn":123915,"r0":0.715837,"r1":1.467037,"r2":2.946192}
{"fn":123916,"r0":0.718454,"r1":1.480192,"r2":2.950462}
{"fn":123917,"r0":0.730301,"r1":1.493440,"r2":2.272755}
{"fn":123918,"r0":0.735049,"r1":0.735049,"r2":1.510451}
{"fn":123919,"r0":0.723604,"r1":1.528997,"r2":2.328632}
{"fn":123920,"r0":0.741871,"r1":1.548852,"r2":2.351037}
{"fn":123921,"r0":0.746867,"r1":1.550569,"r2":1.570808}
{"fn":123922,"r0":0.752917,"r1":0.864808,"r2":1.581414}
{"fn":123923,"r0":0.783375,"r1":1.596395,"r2":2.438061}
{"fn":123924,"r0":0.784041,"r1":1.616600,"r2":2.980808}
{"fn":123925,"r0":0.799402,"r1":1.646558,"r2":2.484797}
{"fn":123926,"r0":0.807313,"r1":1.666170,"r2":2.516532}
{"fn":123927,"r0":0.802293,"r1":1.678048,"r2":2.537307}
{"fn":123928,"r0":0.818328,"r1":0.818328,"r2":1.693883}
{"fn":123929,"r0":0.824858,"r1":1.717093,"r2":2.583797}
{"fn":123930,"r0":0.833428,"r1":1.565927,"r2":1.725781}
{"fn":123931,"r0":0.845247,"r1":1.747715,"r2":2.637946}
{"fn":123932,"r0":0.847995,"r1":1.755472,"r2":2.660890}
{"fn":123933,"r0":0.851205,"r1":1.058004,"r2":1.776349}
{"fn":123934,"r0":0.857519,"r1":1.790850,"r2":2.702073}
{"fn":123935,"r0":0.868369,"r1":1.806020,"r2":1.806020}
{"fn":123936,"r0":0.875356,"r1":1.817017,"r2":2.769304}
{"fn":123937,"r0":0.886478,"r1":0.994161,"r2":1.828831}
{"fn":123938,"r0":0.901029,"r1":1.842175,"r2":2.794764}
{"fn":123939,"r0":0.907219,"r1":1.855115,"r2":3.838449}
{"fn":123940,"r0":0.913971,"r1":1.867015,"r2":3.844718}
{"fn":123941,"r0":0.917830,"r1":1.877801,"r2":2.855565}
{"fn":123942,"r0":0.920995,"r1":1.090519,"r2":1.886567}
{"fn":123943,"r0":0.923330,"r1":1.898460,"r2":3.069482}
{"fn":123944,"r0":0.927786,"r1":0.927786,"r2":1.908551}
{"fn":123945,"r0":0.929104,"r1":0.929104,"r2":1.917153}
{"fn":123946,"r0":0.931636,"r1":0.931636,"r2":1.931034}
{"fn":123947,"r0":0.943498,"r1":1.012792,"r2":1.939549}
{"fn":123948,"r0":0.950302,"r1":1.947314,"r2":2.945970}
{"fn":123949,"r0":0.954644,"r1":1.158893,"r2":1.956047}
{"fn":123950,"r0":0.954611,"r1":1.138813,"r2":1.965251}
{"fn":123951,"r0":0.962590,"r1":1.971597,"r2":2.972540}
{"fn":123952,"r0":0.965713,"r1":1.976527,"r2":3.290487}
{"fn":123953,"r0":0.961895,"r1":1.983668,"r2":2.804090}
{"fn":123954,"r0":0.961579,"r1":1.988053,"r2":2.814050}
{"fn":123955,"r0":0.970853,"r1":1.682491,"r2":1.993735}
{"fn":123956,"r0":0.976002,"r1":1.141647,"r2":1.999505}
{"fn":123957,"r0":0.975666,"r1":1.140399,"r2":2.004362}
{"fn":123958,"r0":0.973814,"r1":1.139629,"r2":2.009318}
{"fn":123959,"r0":0.973271,"r1":1.689776,"r2":2.013317}
{"fn":123960,"r0":0.974815,"r1":2.018207,"r2":2.806792}
{"fn":123961,"r0":0.976043,"r1":1.695078,"r2":2.021778}
{"fn":123962,"r0":0.979842,"r1":1.698815,"r2":2.020977}
{"fn":123963,"r0":0.981964,"r1":1.701806,"r2":2.026192}
{"fn":123964,"r0":0.985571,"r1":1.057621,"r2":2.025747}
{"fn":123965,"r0":0.985803,"r1":1.151184,"r2":2.030506}
{"fn":123966,"r0":0.985098,"r1":1.146771,"r2":2.030300}
{"fn":123967,"r0":0.986134,"r1":1.152376,"r2":2.029529}
{"fn":123968,"r0":0.984871,"r1":1.057621,"r2":2.029931}
{"fn":123969,"r0":0.984510,"r1":1.147133,"r2":2.030043}
{"fn":123970,"r0":0.985551,"r1":1.147094,"r2":2.030001}
{"fn":123971,"r0":0.985202,"r1":1.150378,"r2":2.030119}
{"fn":123972,"r0":0.984279,"r1":1.147954,"r2":2.029650}
{"fn":123973,"r0":0.986530,"r1":1.148953,"r2":2.029849}
{"fn":123974,"r0":0.987008,"r1":1.148094,"r2":2.030037}
{"fn":123975,"r0":0.985775,"r1":1.149289,"r2":2.030078}
{"fn":123976,"r0":0.986063,"r1":1.148600,"r2":2.029619}
{"fn":123977,"r0":0.985459,"r1":1.145172,"r2":2.029715}
